sid,test,subname,parent_title,sub_title,catid,description
212,,Israel,Childrens Resources [33],Israel [212],33,""
213,,General,Childrens Resources [33],General [213],33,""
216,,History,Ancient Egypt [24],History [216],24,""
217,,Mythology,Ancient Egypt [24],Mythology [217],24,""
218,,Monuments,Ancient Egypt [24],Monuments [218],24,""
219,,People,Ancient Egypt [24],People [219],24,""
220,,Ancient Texts,Ancient Egypt [24],Ancient Texts [220],24,""
221,,Art & Images2,Ancient Rome [1],Art & Images2 [221],1,""
222,,Pompeii Images,Ancient Other [26],Pompeii Images [222],26,""
223,,Timelines & Charts,Ancient Egypt [24],Timelines & Charts [223],24,""
224,,Timelines & Charts,Ancient Greece [3],Timelines & Charts [224],3,""
225,,Timelines & Charts,Ancient Near East [5],Timelines & Charts [225],5,""
226,,Timelines & Charts,World History [21],Timelines & Charts [226],21,""
227,,Dictionaries,Languages [20],Dictionaries [227],20,""
228,,Inscriptions,Ancient Near East [5],Inscriptions [228],5,""
229,,Texts & Inscriptions,Ancient Israel [2],Texts & Inscriptions [229],2,Ancient Israel and the Near East
230,,Military History,Ancient Egypt [24],Military History [230],24,"Weapons, Warfare , and Wars"
231,,Coin Collecting,Archaeology [4],Coin Collecting [231],4,""
232,,Coins,Ancient Other [26],Coins [232],26,""
233,,Resources,Ancient Greece [3],Resources [233],3,""
234,,Art Collections,Ancient Greece [3],Art Collections [234],3,""
235,,texts,Ancient Greece [3],texts [235],3,""
236,,Mythology,Ancient Rome [1],Mythology [236],1,""
237,,Mythology,Ancient Greece [3],Mythology [237],3,""
238,,Mythology,Ancient Near East [5],Mythology [238],5,""
239,,Military History,Ancient Greece [3],Military History [239],3,"Weapons, Warfare , and Wars"
240,general,general,People in History [31],general [240],31,
241,,Papyrology,Ancient Documents [16],Papyrology [241],16,For more Epigraphy see Archaeology section
243,,Military History,Ancient Near East [5],Military History [243],5,"Weapons, Battles, & Warfare"
244,,Plutarch 75 ACE,Ancient Documents [16],Plutarch 75 ACE [244],16,Texts by Plutarch
245,,2. General,Ancient Rome [1],2. General [245],1,Various Topics
246,,2. General,Ancient Greece [3],2. General [246],3,Various Topics
248,,Audio Series,Bible History [13],Audio Series [248],13,Lectures and Studies in Audio.
249,,Greece,Images & Art [6],Greece [249],6,Photos Design and Art
250,,Rome,Images & Art [6],Rome [250],6,Photos Design and Art
251,,Egypt Art,Images & Art [6],Egypt Art [251],6,Photos Design and Art
252,,Pompeii,Images & Art [6],Pompeii [252],6,Photos Design and Art
